"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"2257","Neurons - 1",0,-0.0104905827500374,0,0,0.0409118292430098,1.98581331014504,16.6648194463857,0,0.059425994951883,0,0,0,0,0.0114105352555897,0,1.82358396755447
"2258","Mixed",0,0.0120980061482441,0,0,0.0690224104918936,0.0880638398524186,1.21758756917126,0,0.131949092342139,0,0,0,0,0,0,1.16362083670242
"2259","Radial Glia - 2",0,0.0114832951853268,0,0,1.18896830240494,4.60108644454549,16.0667733909657,0,0.405267548585143,0.0116078552189251,0,2,0,0,0,1.17094376859262
"2260","Neurons - 2",0,0.0679347261648025,0,0,0.922937260418344,5.03323496487638,18.4976210299151,0,0.930575285218421,0.0116023809019573,0,1,0,0,0,12.664332485103
"2261","Neurons - 2",0,0.0454974356293322,0,0,-0.0956544830314925,8.69239748546154,37.6712720262209,0,0.0962843499956653,0.0524571069947312,0,0,0,0,0,12.9563526257512
"2262","Radial Glia - 2",0,-0.0459933105302832,0,0.00174383917890611,-0.275293591535042,0.00517344468726439,10.7318531216976,0,0.45986983787445,0.0946573235632153,0,0,0,0,0,7.249395223265
"2263","Radial Glia - 1",0,-0.462856444359514,0,0,0.00694480812634216,3.8866227251221,17.0628230595008,0,0.49334475685316,0,0,3,0,0,0,7.78204102925675
"2264","Astrocytes",0.0563889865959454,0.0336082551194542,0,0.157143348325428,-0.18388219499051,0.420312325301773,2.10024125766655,0,1.20330186661344,0,0,1,0,0,0,3.69910585964705
"2265","Neurons - 1",0,0.00220669690408033,0,0,0.0296474524704278,1.48996407831992,7.63874021966861,0,-0.00195510670881539,0,0,1,0,0.00261566458289115,0,2.25631199420524
"2266","Radial Glia - 2",0,0.200535140920725,0,0,1.18769037265074,0.297121574721305,6.06611607422935,0,0.726465411781181,0,0,0,0,0,0,0.275279733935795
"2267","Astrocytes",0.277749400767428,0.109976826162748,0,1.27182775211386,0.0606849132490404,0.458145479574006,1.74523538664496,0,2.36725727696124,0,0,1,0,0.0607611285991968,0,0.63609395954377
"2268","Neurons - 2",0,0.0148353881311358,0,0,0.117065446874641,4.36267812592438,16.1850598226072,0,0.17973555097685,0.0326519819622927,0,0,0,0.00746387378785789,0,4.28183437229744
"2269","Radial Glia - 2",0,-0.0343949115785816,0,0,-0.215685849210168,1.07401842429743,3.9800976384896,0,0.181507970692462,0.0771602065646488,0,1,0,0,0,2.3497123822564
"2270","Mixed",0,0.00112703687363467,0,-0.0224247964259415,0.0569279501432655,0.236530280828935,6.05986868252435,0,0.257207363072163,0,0,0,0,0,0,1.09200591908617
"2271","Astrocytes",0.64277728816559,4.49498269693434,0,0.9774468701758,-0.00866472391752803,5.82463848256903,10.1569696206677,0,0.913802125439402,-0.28681574684458,0,7,0,0.0812488604990869,0,9.81423885201096
"2272","Radial Glia - 2",0,0.0793065325417846,0,0,0.180691255211215,0.299612387289771,5.79225845684031,0,0.186122579398198,0,0,0,0,0,0,-0.0318099462472688
"2273","Astrocytes",0.0879452882159692,0.2363524179413,0,0.734521235134814,0.147477621019937,0.833865213271428,2.01251984897494,0,0.0655082973106028,0,0,0,0,0.17498239939793,0,0.666555942846189
"2274","Mixed",0,0.00568766117335244,0,0,0.0118962183670182,0.146764586334083,2.98417814038745,0,2.38811691182058,0,0,2,0,0,0,1.23172266548015
"2275","Radial Glia - 1",0,-0.020868120013593,0,0,0.220161445315815,8.28389010343771,12.85895207837,0,-0.462557086591116,0.00954405630734538,0,1,0,0,0,2.98125398974954
"2276","Radial Glia - 2",0,0.0366788149502346,0,0,0.176868183803968,3.13251804517909,7.26474442386053,0,0.240168948656203,0.0288556207592521,0,1,0,0,0,4.34652867956009
"2277","Neurons - 1",0,0.00424407208062875,0,-0.00707150833329718,0.961750740416693,3.11280866179874,10.8087940677622,0,-0.0495371024672672,0,0,1,0,0.00209620729323034,0,3.90055284195429
"2278","Neurons - 2",0,0.0393177268867394,0,0,0.843100792597587,6.04054477928126,24.5375797529854,0,0.392456739367698,0.085297544111262,0,0,0,0,0,7.90732201494744
"2279","Radial Glia - 1",0,0.830210502602109,0,0,-0.0162070038074835,1.29547406865179,9.16690944764844,0,-0.074442613007296,0,0,0,0,0,0,1.84249064020649
"2280","Mixed",0,0.00110627046579433,0,-0.00969637659496843,-0.164087034057662,-0.0262621162525215,3.10646395091333,0,0.68743091906291,0,0,0,0,0,0,0.301087328851915
